Designator,Mid X,Mid Y,Rotation,Layer
R47,93.909999,-96.2,0.0,bottom
R48,86.4,-93.89,270.0,top
R49,89.4,-93.909999,90.0,top
R5,100.965,-147.765,90.0,top
R50,91.6,-92.890001,270.0,bottom
R51,94.6,-92.890001,90.0,bottom
R52,96.8,-81.225,270.0,top
R53,98.4,-81.175,270.0,top
R54,102.11,-99.2,0.0,top
R55,99.99,-99.2,0.0,top
R56,102.14,-101.1,0.0,bottom
R57,104.185,-101.1,0.0,bottom
R58,102.65,-95.54,270.0,top
R59,99.45,-95.54,90.0,top
R6,34.6475,-133.35,0.0,top
R60,107.2,-89.59,270.0,bottom
R61,104.9,-89.59,90.0,bottom
R62,196.31,-114.64,0.0,top
R63,196.31,-117.15,0.0,top
R64,122.5125,-75.2,0.0,top
R65,73.8875,-75.0,180.0,top
R66,140.0,-111.15,270.0,top
R67,34.036,-80.073,270.0,top
R68,6.7075,-63.805,0.0,top
R69,76.4375,-141.7,0.0,top
R7,33.8,-151.7125,270.0,top
R70,76.4375,-139.1,0.0,top
R71,89.3125,-147.55,0.0,top
R72,91.2625,-132.6,0.0,top
R73,6.7075,-78.555,0.0,top
R74,76.29,-122.8,180.0,bottom
R75,75.54,-107.9,180.0,bottom
R76,6.7075,-81.505,0.0,top
R77,6.7075,-84.455,0.0,top
R78,132.109999,-112.45,180.0,top
R8,220.79,-33.67,0.0,top
R84,73.2,-120.909999,90.0,bottom
R85,74.4,-104.909999,90.0,bottom
R86,74.109999,-122.8,0.0,bottom
R87,72.940001,-107.9,0.0,bottom
R9,220.79,-35.66,0.0,top
R92,78.329999,-91.0,180.0,top
R93,80.929999,-91.65,180.0,top
R94,78.329999,-92.3,180.0,top
R95,80.929999,-89.7,180.0,top
R96,78.329999,-89.05,180.0,top
R97,212.0075,-166.633802,0.0,top
R98,212.0075,-168.623802,0.0,top
R99,212.0075,-170.613802,0.0,top
RN1,147.32,-147.32,270.0,top
SW1,155.787,-148.59,0.0,top
SW2,38.735,-63.79,0.0,top
U1,46.355,-102.895001,90.0,top
U10,118.4,-147.65,90.0,top
U11,127.725,-149.2375,0.0,top
U12,98.000001,-111.600001,0.0,top
U13,138.43,-77.6,90.0,top
U14,57.2,-77.685,270.0,top
U15,74.000001,-120.5404,90.0,top
U16,74.000001,-104.1404,90.0,top
U17,122.000001,-104.1404,90.0,top
U18,122.000001,-120.5404,90.0,top
U19,73.405,-91.375,90.0,top
U2,45.96,-141.63,270.0,top
U20,118.905,-90.875,90.0,top
U21,88.075,-140.1375,0.0,top
U22,89.35,-152.32,180.0,top
U23,141.05,-128.125,270.0,top
U24,141.05,-136.175,270.0,top
U3,62.075,-149.2375,0.0,top
U4,72.475,-149.2375,0.0,top
U5,68.3375,-131.625,270.0,top
U6,82.875,-149.2375,0.0,top
U7,95.25,-152.32,0.0,top
U8,100.33,-152.32,0.0,top
U9,109.605,-149.2375,0.0,top
Y1,136.1,-111.6,180.0,top
