Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.1uF,
J1,PinSocket_2x05_P2.54mm_Vertical,1,To Switches,
J2,PinHeader_1x06_P2.54mm_Horizontal_EDGE,1,PIC PGM,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,To CPU,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
U1,DIP-8_W7.62mm,1,PIC16F18015-I/P,
U2,SOT-23-5,1,TLV73333PDBV,
