Designator,Mid X,Mid Y,Rotation,Layer
C2,149.9,-58.42,180.0,top
J1,128.27,-48.26,0.0,bottom
J2,148.59,-36.83,90.0,top
J3,171.45,-48.26,0.0,top
R1,133.35,-36.83,180.0,top
U1,148.59,-49.53,180.0,top
U2,159.8875,-57.470001,0.0,top
